State_District,British,Years Under Occupation,Area (sq. km),Temperature (celsius),Rain (mm),Altitude (m),Road Length Per Capita (m),Rail Length Per Capita (m),% Highschool Educated,% Primary School Educated,Literacy Rate,Lights Per Annum (Intensity Range 1-63 DN),Labor Force Participation Rate,"Infant Mortality Rate (per 1,000 live births)"
Orissa Sambalpur,1,62,17501,25.58,1490.23,245.63,0.72,0.17,0.05,0.09,0.38,0.76,0.39,32
Orissa Sundargarh,0,0,9619,26.01,1532.34,319.36,0.73,0.32,0.23,0.24,0.64,0.46,0.46,51
Orissa Kendujhar,0,0,8289,24.21,1500.29,378.12,0.37,0.13,0.14,0.15,0.47,0.37,0.36,57
Orissa Mayurbhanj,0,0,10417,24.07,1547.69,316.55,0.46,0.12,0.12,0.14,0.39,0.21,0.59,49
Orissa Baleshwar,1,104,6201,25.34,1601.24,26.29,0.33,0.13,0.02,0.12,0.47,1.01,0.11,29
Orissa Cuttack,1,104,11132,25.78,1621.53,40.13,0.26,0.1,0.09,0.13,0.32,1.03,0.09,36
Orissa Dhenkanal,0,0,10798,25.34,1456.96,170.35,0.62,0.04,0.13,0.15,0.62,0.98,0.21,58
Orissa Phulbani,1,52,11118,24.13,1473.25,514.36,1.43,0,0.03,0.14,0.51,0.05,0.32,43
Orissa Balangir,0,0,8812,26.02,1428.35,228.43,0.26,0.21,0.08,0.13,0.47,0.32,0.31,54
Orissa Kalahandi,1,142,11764,25.85,1319.24,382.35,0.98,0.23,0.02,0.1,0.25,0.24,0.27,48
Orissa Koraput,1,142,26921,23.56,1482.69,560.27,1.03,0.17,0.03,0.08,0.14,0.32,0.34,37
Orissa Ganjam,1,142,12509,24.39,1368.74,273.53,0.36,0.09,0.04,0.15,0.22,0.81,0.29,41
Orissa Puri,1,104,10176,25.05,1448.32,95.61,0.31,0.03,0.08,0.12,0.36,1.23,0.17,50
Maharashtra Greater Bombay,1,89,592,25.72,2670.34,34.92,0.01,0,0.35,0.2,0.79,17.24,0.12,32
Maharashtra Thane,1,89,9547,25.89,2461.91,135.2,0.15,0.1,0.19,0.18,0.54,2.38,0.27,41
Maharashtra Raigarh,1,78,7002,25.11,3558.29,140.23,0.43,0.1,0.09,0.09,0.47,2.17,0.47,41
Maharashtra Ratnagiri,1,89,8271,25.91,3400.81,176.29,0.49,0,0.08,0.12,0.49,0.32,0.36,23
Maharashtra Sindhudurg,1,24.5,5201,26.58,3428.34,160.92,0.36,0,0.06,0.05,0.63,1.01,0.7,38
Maharashtra Nashik,1,89,15489,23.98,800.28,597.46,0.28,0.15,0.04,0.21,0.32,1.92,0.48,36
Maharashtra Dhule,1,89,13126,24.3,693.13,332.91,0.56,0.11,0.07,0.24,0.54,1.89,0.38,27
Maharashtra Jalgaon,1,89,11728,25.32,730.32,281.65,0.37,0.17,0.11,0.19,0.38,0.23,0.29,49
Maharashtra Ahmadnagar,1,89,17002,23.64,589.34,612.58,0.39,0.02,0.07,0.17,0.36,2.43,0.48,23
Maharashtra Pune,1,89,15623,23.48,791.26,658.32,0.17,0.07,0.17,0.16,0.42,2.65,0.21,28
Maharashtra Satara,1,62,10480,24.01,1036.63,740.91,0.47,0.1,0.11,0.23,0.49,1.29,0.48,12
Maharashtra Sangli,0,0,8601,23.01,1350.23,636.83,0.11,0.14,0.28,0.37,0.79,3.21,0.72,37
Maharashtra Solapur,1,89,14895,25.79,616.18,504.98,0.57,0.2,0.09,0.21,0.56,3.49,0.13,21
Maharashtra Kolhapur,0,0,7692,24.19,1491.01,663.81,0.21,0,0.18,0.26,0.71,2.47,0.52,39
Maharashtra Aurangabad,0,0,10113,23.56,698.41,572.34,0.27,0.12,0.19,0.21,0.73,0.32,0.72,42
Maharashtra Jalna,0,0,7736,25.41,771.43,511.21,0.36,0.08,0.08,0.23,0.42,1.02,0.63,44
Maharashtra Parbhani,0,0,11041,25.38,836.23,435.9,0.39,0.17,0.04,0.2,0.53,0.21,0.64,43
Maharashtra Bid,0,0,10693,25.27,715.25,583.84,0.23,0.09,0.13,0.17,0.68,1.35,0.69,39
Maharashtra Nanded,0,0,10528,26.54,1008.68,403.94,0.39,0.02,0.11,0.18,0.63,0.17,0.61,43
Maharashtra Osmanabad,0,0,7681,26.21,764.41,614.38,0.28,0.11,0.14,0.22,0.76,0.35,0.63,46
Maharashtra Latur,0,0,7293,25.73,847.98,595.96,0.54,0.19,0.24,0.27,0.69,0.28,0.61,51
Maharashtra Buldana,1,54,9631,25.19,854.12,452.34,0.58,0.03,0.06,0.18,0.32,2.51,0.61,47
Maharashtra Akola,1,54,10562,25.87,826.59,387.19,0.49,0.28,0.09,0.21,0.38,2.95,0.53,42
Maharashtra Amravati,1,54,12175,25.63,901.44,413.29,0.75,0.12,0.12,0.17,0.21,2.43,0.48,34
Maharashtra Yavatmal,1,54,13582,26.34,1016.53,323.71,0.82,0,0.07,0.05,0.36,1.82,0.42,23
Maharashtra Wardha,1,65,6791,25.38,1027.32,297.73,1.01,0.18,0.05,0.21,0.32,2.11,0.38,39
Maharashtra Nagpur,1,65,9893,26.2,1000.94,336.86,0.45,0.14,0.13,0.25,0.51,2.49,0.57,34
Maharashtra Bhandara,1,65,9318,26.84,1393.23,295.94,0.63,0.22,0.04,0.15,0.21,1.29,0.49,29
Maharashtra Chandrapur,1,65,11443,27.06,1324.34,231.98,0.89,0.33,0.02,0.12,0.27,0.79,0.3,37
Maharashtra Gadchiroli,1,65,14416,27.1,1577.23,249.65,2.56,0.18,0.01,0.09,0.39,0.12,0.69,23
