Date,Brazil,Brazil ESG,China,China ESG,South Africa,South Africa ESG,India,India ESG,
"Dec 31, 1987",,,,,,,,,
"Dec 30, 1988",,,,,,,,,
"Dec 29, 1989",,,,,,,,,
"Dec 31, 1990",,,,,,,,,
"Dec 31, 1991",,,,,,,,,
"Dec 31, 1992",100,,100,,100,,100,,0.390899851
"Dec 31, 1993",175.2607302,,133.553,,168.545,,133.043,,
"Dec 30, 1994",287.1089047,,70.583,,217.256,,145.136,,
"Dec 29, 1995",225.9889766,,54.358,,254.871,,98.833,,
"Dec 31, 1996",311.8896099,,73.443,,203.652,,95.105,,
"Dec 31, 1997",384.7975139,,54.053,,182.095,,104.225,,
"Dec 31, 1998",215.2052224,,30.36,,127.752,,80.37,,
"Dec 31, 1999",347.7018998,,33.378,,196.005,,148.419,,
"Dec 29, 2000",298.3308576,,22.634,,157.581,,114.547,,
"Dec 31, 2001",233.3891017,,16.741,,125.632,,90.292,,
"Dec 31, 2002",154.5469471,,14.034,,154.856,,95.646,,
"Dec 31, 2003",313.5008991,,25.414,,216.618,,166.35,,
"Dec 31, 2004",409.0966304,,25.212,,304.708,,193.726,,
"Dec 30, 2005",613.493472,,29.228,,377.916,,262.258,,
"Dec 29, 2006",862.1018685,,52.063,,443.112,,390.636,,
"Dec 31, 2007",1511.671879,"1,034.16",84.914,"1,035.18",508.322,"1,044.94",668.886,"1,186.82",
"Dec 31, 2008",640.3596279,492.172,40.81,547.717,305.081,658.013,233.649,466.629,
"Dec 31, 2009",1416.821202,"1,051.13",64.808,787.838,467.967,"1,005.93",468.478,987.187,
"Dec 31, 2010",1470.312329,"1,153.17",66.312,796.122,611.621,"1,356.37",559.416,"1,252.95",
"Dec 30, 2011",1104.938629,923.621,52.829,705.873,505.882,"1,179.45",346.993,851.981,
"Dec 31, 2012",1066.261434,970.735,62.851,863.262,580.682,"1,491.71",430.034,987.454,
"Dec 31, 2013",867.0655148,843.395,63.103,960.64,529.32,"1,352.51",407.309,"1,046.93",
"Dec 31, 2014",716.2626065,809.441,66.038,"1,056.20",542.718,"1,463.73",496.393,"1,254.99",
"Dec 31, 2015",405.0637167,469.382,59.407,"1,069.02",394.832,"1,062.96",459.559,"1,265.91",
"Dec 30, 2016",653.5141897,707.212,58.559,"1,123.19",454.445,"1,263.97",446.631,"1,220.18",
"Dec 29, 2017",790.7470096,857.129,88.484,"1,810.93",605.064,"1,836.40",611.111,"1,657.97",
"Dec 31, 2018",759.8948479,818.188,70.403,"1,311.35",444.689,"1,337.41",557.632,"1,587.17",
"Dec 31, 2019",927.6092565,965.267,85.146,"1,706.15",477.511,"1,410.22",591.563,"1,745.77",
"Dec 31, 2020",733.4770542,739.042,108.406,"2,279.55",450.151,"1,305.83",675.186,"2,121.67",
"Dec 31, 2021",560.8885154,492.62,83.699,"1,747.67",454.137,"1,345.23",844.658,"2,563.05",
"Dec 30, 2022",570.2075678,483.31,63.948,"1,266.96",421.398,"1,212.74",770.892,"2,301.56",
,,,,,,,,,
,,,,,,,,,
