Date,Brazil,Brazil ESG,China,China ESG,South Africa,South Africa ESG,India,India ESG,,,,
2007,100,100,100,100,100,100,100,100,,,0.066152004,0.096696836
2008,42.36109733,47.59128181,48.06265458,52.91060492,60.01731193,62.97107968,34.9310051,39.31767244,,,1.177717583,0.096601557
2009,93.72548241,101.6409453,76.32787658,76.10657084,92.06208687,96.2667713,70.03842186,83.17942064,,,0.196726472,0.095699275
2010,97.26395311,111.5078905,78.09445295,76.90643173,120.3218445,129.8036251,83.63408034,105.5720328,,,0.149501413,0.084258776
2011,73.09399538,89.31113174,62.21881993,68.18814119,99.51998741,112.8725094,51.87549522,71.78679159,,,,
2012,70.53523586,93.86748666,74.01955011,83.39226028,114.2351275,142.7555649,64.29009254,83.20132792,,,,
2013,57.35841817,81.55411155,74.31397951,92.79931993,104.1312559,129.4342259,60.89342044,88.21303989,,,,
2014,47.38203444,78.270287,77.7764692,102.0305647,106.7673906,140.0778992,74.21100629,105.7439207,,,,
2015,26.79553077,45.38756092,69.96820163,103.2689967,77.67351275,101.7245009,68.70486926,106.6640266,,,,
2016,43.23099618,68.38496944,68.96714168,108.5019031,89.40234498,120.9610121,66.77181599,102.8108728,,,,
2017,52.30969722,82.88175911,104.2044518,174.938658,119.0313189,175.7421479,91.36180837,139.6985221,,,,
2018,50.26824638,79.11638431,82.91131787,126.6784521,87.48229462,127.9891668,83.36647281,133.7330008,,,,
2019,61.3632605,93.33855496,100.2826522,164.8167468,93.93885741,134.957031,88.43905575,147.0964426,,,,
2020,48.52117195,71.46282974,127.6763632,220.2080798,88.55642115,124.9669838,100.9418589,178.7693163,,,,
2021,37.10399757,47.63479539,98.57496172,168.8276435,89.34135977,128.7375352,126.2778633,215.9594547,,,,
2022,37.72053424,46.73454785,75.31503945,122.3903089,82.9005351,116.0583383,115.2491441,193.9266275,,,,
